iter	Passed	Remaining
700	13085	5581
701	13091	5557
702	13101	5534
703	13106	5510
704	13126	5492
705	13134	5469
706	13148	5448
707	13166	5430
708	13178	5409
709	13191	5387
710	13207	5368
711	13223	5348
712	13230	5325
713	13242	5304
714	13260	5285
715	13271	5264
716	13286	5244
717	13292	5220
718	13302	5198
719	13323	5181
720	13336	5160
721	13352	5141
722	13362	5119
723	13368	5096
724	13381	5075
725	13408	5060
726	13414	5037
727	13427	5016
728	13443	4997
729	13453	4976
730	13460	4953
731	13471	4932
732	13477	4909
733	13483	4886
734	13497	4866
735	13507	4845
736	13515	4823
737	13536	4805
738	13542	4782
739	13547	4759
740	13554	4737
741	13558	4714
742	13566	4692
743	13573	4670
744	13580	4648
745	13586	4625
746	13599	4605
747	13606	4584
748	13614	4562
749	13620	4540
750	13628	4518
751	13634	4496
752	13640	4474
753	13646	4452
754	13650	4429
755	13657	4407
756	13662	4385
757	13672	4365
758	13678	4343
759	13694	4324
760	13705	4304
761	13719	4284
762	13727	4263
763	13734	4242
764	13743	4221
765	13749	4200
766	13757	4179
767	13764	4157
768	13781	4139
769	13798	4121
770	13809	4101
771	13826	4083
772	13833	4062
773	13839	4041
774	13848	4020
775	13870	4003
776	13879	3983
777	13884	3961
778	13900	3943
779	13911	3923
780	13916	3902
781	13924	3881
782	13930	3860
783	13941	3841
784	13949	3820
785	13956	3799
786	13963	3779
787	13968	3758
788	13988	3740
789	13995	3720
790	14004	3700
791	14012	3680
792	14019	3659
793	14033	3641
794	14041	3620
795	14050	3600
796	14058	3580
797	14067	3561
798	14076	3541
799	14081	3520
800	14088	3500
801	14093	3479
802	14105	3460
803	14112	3440
804	14121	3420
805	14130	3401
806	14137	3380
807	14143	3360
808	14150	3340
809	14167	3323
810	14177	3304
811	14189	3285
812	14195	3265
813	14206	3246
814	14213	3226
815	14220	3206
816	14228	3186
817	14235	3167
818	14243	3147
819	14255	3129
820	14261	3109
821	14269	3090
822	14274	3070
823	14282	3050
824	14292	3031
825	14297	3011
826	14306	2992
827	14312	2973
828	14321	2954
829	14327	2934
830	14338	2916
831	14345	2896
832	14351	2877
833	14356	2857
834	14363	2838
835	14378	2820
836	14387	2801
837	14392	2782
838	14397	2762
839	14403	2743
840	14409	2724
841	14418	2705
842	14424	2686
843	14435	2668
844	14442	2649
845	14450	2630
846	14468	2613
847	14475	2594
848	14482	2575
849	14487	2556
850	14498	2538
851	14506	2519
852	14515	2501
853	14525	2483
854	14532	2464
855	14541	2446
856	14548	2427
857	14561	2410
858	14572	2391
859	14577	2373
860	14592	2355
861	14599	2337
862	14606	2318
863	14612	2300
864	14622	2282
865	14630	2263
866	14636	2245
867	14645	2227
868	14653	2208
869	14662	2190
870	14668	2172
871	14673	2153
872	14682	2136
873	14694	2118
874	14699	2099
875	14707	2081
876	14713	2063
877	14722	2045
878	14729	2027
879	14744	2010
880	14753	1992
881	14757	1974
882	14773	1957
883	14781	1939
884	14788	1921
885	14800	1904
886	14810	1886
887	14818	1868
888	14826	1851
889	14833	1833
890	14840	1815
891	14846	1797
892	14852	1779
893	14858	1761
894	14863	1743
895	14874	1726
896	14879	1708
897	14888	1691
898	14899	1673
899	14905	1656
900	14924	1639
901	14933	1622
902	14947	1605
903	14953	1588
904	14962	1570
905	14969	1553
906	14979	1535
907	14984	1518
908	14994	1501
909	15011	1484
910	15019	1467
911	15026	1449
912	15037	1432
913	15043	1415
914	15053	1398
915	15068	1381
916	15075	1364
917	15082	1347
918	15088	1329
919	15100	1313
920	15116	1296
921	15122	1279
922	15133	1262
923	15148	1246
924	15166	1229
925	15183	1213
926	15206	1197
927	15218	1180
928	15256	1165
929	15268	1149
930	15293	1133
931	15304	1116
932	15313	1099
933	15329	1083
934	15360	1067
935	15389	1052
936	15404	1035
937	15422	1019
938	15444	1003
939	15461	986
940	15479	970
941	15491	953
942	15497	936
943	15508	919
944	15527	903
945	15541	887
946	15549	870
947	15566	853
948	15580	837
949	15599	821
950	15618	804
951	15634	788
952	15651	771
953	15661	755
954	15675	738
955	15689	722
956	15707	705
957	15717	689
958	15726	672
959	15756	656
960	15769	639
961	15780	623
962	15792	606
963	15808	590
964	15820	573
965	15830	557
966	15843	540
967	15858	524
968	15873	507
969	15879	491
970	15887	474
971	15894	457
972	15907	441
973	15915	424
974	15922	408
975	15929	391
976	15936	375
977	15944	358
978	15961	342
979	15967	325
980	15980	309
981	15993	293
982	16000	276
983	16014	260
984	16024	244
985	16036	227
986	16082	211
987	16093	195
988	16101	179
989	16112	162
990	16128	146
991	16134	130
992	16142	113
993	16151	97
994	16183	81
995	16197	65
996	16213	48
997	16243	32
998	16260	16
999	16270	0
